Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"5000/test_push/strict",2.894363931876832e-4,2.8333927151548655e-4,2.97663893236234e-4,3.5957955567985e-5,2.8631427940178388e-5,4.3760192759851606e-5
"5000/test_push/lazy",6.193167657193853e-5,6.051942796048833e-5,6.383516282376958e-5,8.311445687960817e-6,6.595069117474597e-6,9.951975810405088e-6
"5000/test_push/realtime",1.9154883657245637e-4,1.8770229572948564e-4,1.9665073288459517e-4,2.251543524633086e-5,1.8127086481758225e-5,2.6807757491983824e-5
"5000/test_repeated_push_pop/list",0.19062658447133954,0.19036368507253584,0.19113875287877974,1.8181711178985476e-3,1.1172240789636316e-3,3.1719395401914267e-3
"5000/test_repeated_push_pop/strict",8.4656919420833e-2,8.394140619146293e-2,8.60655130754656e-2,4.949312456314953e-3,2.7628539881703255e-3,8.022475528082523e-3
"5000/test_repeated_push_pop/lazy",1.153946277206295e-4,1.1257746479303794e-4,1.1917657617010623e-4,1.6624553476583343e-5,1.3226924169964685e-5,2.001403341552563e-5
"5000/test_repeated_push_pop/realtime",2.224813780164608e-4,2.1709550231455667e-4,2.2950142967919938e-4,3.1388429738364046e-5,2.5321552308258024e-5,3.6925541907481795e-5
"5500/test_pop_push/list",0.2351567854295916,0.23487514871465628,0.23570745843755667,1.9599662870623353e-3,1.1188490596810755e-3,3.1458114036957852e-3
"5500/test_pop_push/strict",5.432216898051662e-4,5.317759092100224e-4,5.583180562106535e-4,6.709479949604472e-5,5.41354800627819e-5,7.949750761003268e-5
"5500/test_pop_push/lazy",1.975457064127843e-4,1.9332907515922396e-4,2.0347421617798546e-4,2.5315007962932113e-5,1.9260433003399018e-5,3.121561322208619e-5
"5500/test_pop_push/realtime",3.9952185567079183e-4,3.9050836678205153e-4,4.120362978762209e-4,5.402477422105161e-5,4.143084931258087e-5,6.641263913667258e-5
"5500/test_pop/list",1.1797565328541087e-4,1.1543411123218821e-4,1.241530786699324e-4,1.9011555146115104e-5,9.40377657603718e-6,3.71856697530509e-5
"5500/test_pop/strict",4.16902723261738e-4,4.0890946529899735e-4,4.272995156001825e-4,4.681305160040274e-5,3.80027526215731e-5,5.568520220668701e-5
